Parameter,Value
P_r_dBm (1 AU),-104.29789447492988
Margin_no_amp_dB,-54.297894474929876
Margin_60dB_amp,5.702105525070124
Margin_80dB_amp,25.702105525070124
Margin_100dB_amp,45.702105525070124
NF_degradation_dB,0.002615816019850392
