Type,A_V_mag_pc,Alpha_dB_pc,Loss_pct_10pc
Diffuse,0.002,0.0015088285147292024,0.34681779750158626
Dense,0.1,0.07544142573646012,15.94596349945272
Extreme,1.0,0.7544142573646012,82.39703835734669
Worst-case,10.0,7.544142573646012,99.99999714334741
Hyper-extreme,100.0,75.44142573646012,100.0
Ultra-pockets,1000.0,754.4142573646012,100.0
